pose,correctness,angle_elbow_l,angle_shoulder_l,angle_hip_l,angle_knee_l,angle_elbow_r,angle_shoulder_r,angle_hip_r,angle_knee_r
Anantasana,1,139.57900066782366,15.79937998806091,157.4690012488737,164.44954610138936,158.15574015923647,18.533308404265668,178.6348006548605,161.42608089217393
Anantasana,1,143.16270166922897,29.488018132883635,170.52592023756668,173.33218204862274,152.5012204038151,27.66070478315763,179.98608823322635,172.04907687798615
Anantasana,1,160.3621750107772,38.23676217609185,151.34610613007504,164.31187427395167,62.215908957859284,11.66185604726996,176.580968958113,178.0723405086506
Anantasana,1,156.9939789985722,27.02511204934802,149.7401480729829,157.81542791554696,178.2083278989815,20.73502535186721,175.3409940939138,171.4456653930399
Anantasana,1,173.18901818179154,28.635972049040696,174.06588684652246,165.18858054133682,122.71117435567291,28.85121566246011,163.00954515346618,168.81669465792618
Anantasana,1,156.26753066176641,59.75062406899399,168.7265783547164,155.82348031615442,147.6720900120166,59.37269834228745,165.8794538426798,157.73224897986336
Anantasana,1,153.4130086511348,49.62696771593088,169.29842541645638,162.1672500755242,166.39384991080186,2.214575967883947,165.04560711166107,172.26693553351487
Anantasana,1,178.4250411394801,65.87786414776943,176.8809109947843,118.50997801144409,119.69849103668997,102.63927366021872,160.26582169635017,109.44080510868717
Anantasana,1,153.76872366304912,71.40086250782699,173.58179404260034,141.29849301512786,120.2097277928352,96.27678103913912,162.17286688470728,143.51918891446695
Anantasana,1,141.64672674521623,78.44764428349382,172.23154395969644,141.5612464055285,132.773685615317,74.50765943339104,161.3285845361001,140.4111620606133
Anantasana,1,142.46592862518614,77.20704492378403,175.11147424214144,178.59829809144497,93.21907058912518,112.46212830971876,165.47797746562344,160.0837564480653
Anantasana,1,138.79023108376322,70.96205569330155,178.2239756785043,143.39913718539225,137.7219194616533,72.16739488027635,169.10783803134686,122.75437650355026
Anantasana,1,146.18284701441632,51.489842957273744,179.3932512531333,176.37263688642412,128.1745308779761,80.7495236911126,159.26135406170428,121.18045215295979
Anantasana,1,174.386630192816,38.12219546356401,147.99309860591978,162.43513354716828,107.16823799263264,129.44481362329483,140.937391661187,121.40035132736028
Anantasana,1,155.47090367798586,68.35633255071751,169.58321439198684,175.35183022833624,107.17376695402135,105.96283878924848,156.59954132315542,134.34360713272469
Anantasana,1,153.12222786539678,80.37746580260347,131.9622316249396,145.57187004980736,129.87830209175073,30.106664654337553,133.61987909102072,172.42946702898257
Anantasana,1,161.81510290251825,75.61292719793715,141.5049973685422,166.7190195850251,169.9371563382246,64.21950507204161,130.46151548443393,139.60270890937122
Anantasana,1,160.46805548938372,121.86239894158862,132.7402560418714,176.00340295829716,110.65919727804902,141.91869782346274,128.03250519980452,145.38800239686628
Anantasana,1,156.9495961746244,57.660843028170234,150.94198779847693,172.03792311665765,150.722808347902,77.68912465148583,145.5863516214049,166.25150658415058
Anantasana,1,149.58507436763404,82.41349722489593,139.07030105326712,170.01051450980628,124.2714604151164,45.4915706084426,133.51546510490934,144.78011710496276
Anantasana,1,179.33594208586328,41.4679711587018,164.53207188774292,155.38840270136185,136.98595419295665,61.85264923881613,154.32854151438602,171.43065130954122
Anantasana,1,170.03949061216272,55.68966257859125,130.78238471958403,156.67934684846432,135.94320520893703,75.11114086276831,130.67722053918612,147.15058201599405
Anantasana,1,162.58552891952326,48.862635770853956,142.07331272340264,176.9135003312623,148.30093907785107,61.758134843859125,136.91415120229635,138.4490171541301
Anantasana,1,177.14694595815186,57.113110482068464,152.36583437373093,177.27328350744475,124.48213470248906,77.1506816237486,142.27480644152044,124.71524235947635
Anantasana,1,128.87333006956797,19.934455108747706,172.13599397699528,155.315318815695,136.52611287225523,72.05458546509209,150.75062016281692,136.2227986416122
Anantasana,1,134.40175516714936,16.976931082591157,147.49423358730027,173.61349647086104,152.17526987931177,57.957532562719905,142.67458579524927,130.2159443655209
Anantasana,1,175.15888307228215,18.37089288967229,169.11010262560671,158.22304926375224,136.54039752158982,65.54826132128119,168.36162230747988,159.56769732783067
Anantasana,1,146.30840685096325,4.881862891772888,161.18538378108101,175.23668564871102,144.38145955805234,58.585568716081525,149.0222271949845,151.16623006156894
Anantasana,1,150.10999014118195,3.5975858662878544,160.27873399465236,155.52439713121012,150.38495030356987,60.90416185114293,143.175353763769,162.2643871587636
Anantasana,1,150.95591255723164,2.239837017152431,146.51142188813304,172.60596480537367,145.907745899994,58.311116706998064,140.5414362517948,144.67531548474014
Anantasana,1,167.06020700373548,48.50777845333391,157.51201486930012,157.47466363726267,156.30130875806998,35.363902748496905,144.33292038556698,176.503666323119
Anantasana,1,166.6815695950069,2.2433063762187366,177.53353697148006,162.56424275247957,137.44079900879765,56.84483045150131,160.10393628446906,158.37106756363977
Anantasana,1,148.23532583371062,0.7363872269368954,155.30471474389438,179.08312634822659,129.29412462319877,60.77054336859419,155.30631078092946,166.43684023452744
Anantasana,1,169.3982368565762,24.846449390627544,161.65085658728614,153.09789096236793,135.54196220450314,61.77339624645481,160.97906604082996,179.11139859722638
Anantasana,1,158.60457047548462,10.813044455984842,132.82105033273942,160.03555169783778,143.86428918187065,59.65663317900459,138.31688818296755,153.051330583784
Anantasana,1,80.05970844805657,61.59912585637774,118.00451328728062,134.36273894591568,148.45539533957862,62.477170200031196,27.840559045757654,45.29511239304439
Anantasana,1,142.0309495835945,0.8932367110089455,161.95228902257895,157.9909931596453,150.43847727047915,52.61946802336411,154.50361100365623,176.71594998983502
Anantasana,1,161.06092160485494,52.84434012498696,52.431998130012005,74.29902066311351,143.3045651169349,36.174728316538705,130.86693611413006,156.25972681042234
Anantasana,1,162.60453536062937,48.26090544111105,129.81871006846131,137.00090623985403,150.55921603310023,26.001718579388733,55.18583173222638,64.36489278898055
Anantasana,1,115.77452875030995,70.97351520501752,31.28816082153893,23.608219621807983,151.09380758278002,25.015465994541945,90.42605936337787,91.260770080565
Anantasana,1,152.04478570421503,44.78040059193122,127.34193894334024,123.23490514102849,160.19260743207698,21.719946821094172,39.71519077965999,59.79649476716863
Anantasana,1,115.6694237660316,67.70305719860352,27.387890026271812,54.61454089863083,151.92145512695467,20.88454559475429,122.10778289882528,122.64598800369215
Anantasana,1,116.66834849750224,66.25173564697957,36.86064235416767,47.23046190650941,156.08676718632825,17.736547794921197,136.7509780042377,149.91884279243172
Anantasana,1,119.60567810715216,65.78993479146806,59.877631554994196,16.174881008388052,166.88416471692855,12.079509080467098,152.88027475384808,176.25286872176375
Anantasana,1,135.62415036700318,51.840802025389095,146.648963535153,150.02370328587094,168.1702573376979,8.20288265225675,145.68920120393983,140.5062112662142
Anantasana,1,106.81285010646278,68.51921786587047,15.21329464100808,110.05408416606491,136.31274382456357,25.040122724772935,133.5527695995159,142.4020195139814
Anantasana,1,131.48294574849382,52.19298714366605,143.76036057906953,128.07655368944285,169.28126419040373,8.695893585874089,153.55463000317687,136.70285199004874
Anantasana,1,122.20655626531949,58.30018318839518,121.15047846759185,117.53206492024644,172.24237012272042,36.36780979348235,13.66447738099541,174.25291621355495
Anantasana,1,124.05178773427386,59.96390766078147,159.67357080652593,160.07236178539526,159.0634749478953,15.452893575896264,31.57074323260321,161.97012893052988
Anantasana,1,154.52913760841582,24.56470679893715,23.277157783571685,146.41688262014628,172.03354275260057,23.917510257299995,16.019666093986725,76.93930299088116
Anantasana,1,153.6126927992461,27.87543405323678,152.48450717087667,169.05403280478006,169.46663351072957,21.185597491602877,143.25881369408057,179.63502383786349
Anantasana,1,172.9899293430904,20.438453510719658,158.0365153117497,149.86612406118937,165.67349113678634,2.778074222653799,167.82961028130333,159.9688902484427
Anantasana,1,121.23437862844257,63.291630840722334,157.62067653764106,175.28725960688553,29.763267145314874,162.52844729802925,165.42937888905294,138.37671169752073
Anantasana,1,74.79006445569163,104.78637310664149,166.6459046961216,173.18235479109154,45.82055440630912,155.08039566480434,174.11983878009735,147.61199699978198
Anantasana,1,142.9258523163406,22.207233747888125,178.3295347521775,177.01156900642636,156.679485187872,8.324252706290165,172.43472846114352,123.18578191944539
Anantasana,1,173.99115986270886,8.683204357057534,159.7611015934171,175.25979587828127,162.05549139174644,8.589171827914862,175.9187242107839,145.0332158846748
Anantasana,1,125.80923790846522,22.681513829029928,171.6078237539496,162.15322046538543,146.49387548198288,19.021250911217077,178.2308247858086,168.1483212223776
Anantasana,1,117.81367911000034,15.508402522581513,177.495556172011,92.5118438668391,171.6678862139478,9.033270248258324,171.9821953226224,159.6398565593257
Anantasana,1,171.72981234667205,2.5904075803218043,23.11254065717559,160.49588891884696,160.0111624076142,35.53932540611329,154.2402169530296,155.90861145551605
Anantasana,1,176.49250853476417,2.827618461303744,178.67703563578814,130.76577029456578,158.82915474298989,20.962379135533727,179.854622331935,161.42809060330546
Anantasana,1,141.9084104526663,31.357517106865846,9.97512241572089,150.50354858548076,154.85781276848195,37.12399894501327,23.212516312141236,10.037721859190826
